station_id,station_name,start_time,end_time,peak_aqi,duration_hours,first_actual_crossing,horizon,lead_time_hours,detection
8,Punjabi Bagh,2025-12-27 15:00:00+05:30,2025-12-31 17:00:00+05:30,441.0,99.0,2025-12-27 15:00:00+05:30,6h,6.0,hit
9,R K Puram,2025-11-01 16:00:00+05:30,2025-11-02 11:00:00+05:30,426.0,20.0,2025-11-01 16:00:00+05:30,6h,3.0,hit
9,R K Puram,2025-11-08 18:00:00+05:30,2025-11-09 09:00:00+05:30,423.0,16.0,2025-11-08 18:00:00+05:30,6h,2.0,hit
9,R K Puram,2025-11-10 15:00:00+05:30,2025-11-14 05:00:00+05:30,459.0,87.0,2025-11-10 15:00:00+05:30,6h,3.0,hit
9,R K Puram,2025-11-15 00:00:00+05:30,2025-11-15 19:00:00+05:30,412.0,20.0,2025-11-15 00:00:00+05:30,6h,4.0,hit
9,R K Puram,2025-11-18 23:00:00+05:30,2025-11-21 02:00:00+05:30,428.0,52.0,2025-11-18 23:00:00+05:30,6h,0.0,miss
9,R K Puram,2025-11-23 06:00:00+05:30,2025-11-24 05:00:00+05:30,407.0,24.0,2025-11-23 06:00:00+05:30,6h,2.0,hit
9,R K Puram,2025-11-27 12:00:00+05:30,2025-11-28 13:00:00+05:30,423.0,26.0,2025-11-27 12:00:00+05:30,6h,7.0,hit
9,R K Puram,2025-12-02 10:00:00+05:30,2025-12-03 09:00:00+05:30,428.0,24.0,2025-12-02 10:00:00+05:30,6h,4.0,hit
9,R K Puram,2025-12-13 01:00:00+05:30,2025-12-15 23:00:00+05:30,487.0,71.0,2025-12-13 01:00:00+05:30,6h,5.0,hit
9,R K Puram,2025-12-18 09:00:00+05:30,2025-12-20 22:00:00+05:30,448.0,62.0,2025-12-18 09:00:00+05:30,6h,3.0,hit
9,R K Puram,2025-12-22 17:00:00+05:30,2025-12-23 20:00:00+05:30,452.0,28.0,2025-12-22 17:00:00+05:30,6h,4.0,hit
9,R K Puram,2025-12-27 09:00:00+05:30,2025-12-28 17:00:00+05:30,434.0,33.0,2025-12-27 09:00:00+05:30,6h,5.0,hit
9,R K Puram,2025-12-30 22:00:00+05:30,2025-12-31 05:00:00+05:30,412.0,8.0,2025-12-30 22:00:00+05:30,6h,4.0,hit
9,R K Puram,2025-12-31 11:00:00+05:30,2025-12-31 17:00:00+05:30,419.0,7.0,2025-12-31 11:00:00+05:30,6h,17.0,hit
