file_key,station_folder,data_type,filename,extension,file_size_bytes,n_sheets,n_rows,n_cols,read_error
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_March_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",.xlsx,8745,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_May_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",.xlsx,8835,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_November_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",.xlsx,8557,1,30,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_October_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",.xlsx,8755,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_September_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",.xlsx,8611,1,30,25,
"Jahangirpuri, Delhi - DPCC	/Raw Data/2024_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv","Jahangirpuri, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv",.csv,1086228,1,8784,25,
"Jahangirpuri, Delhi - DPCC	/Raw Data/2025_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv","Jahangirpuri, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv",.csv,1263181,1,8760,25,
"Jahangirpuri, Delhi - DPCC	/Raw Data/2026_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv","Jahangirpuri, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv",.csv,687078,1,5088,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_April_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",.xlsx,8623,1,30,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_August_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",.xlsx,8612,1,31,25,
