file_key,sheet,station_folder,data_type,col_name,inferred_dtype,semantic_role,sample_values,n_total,n_missing,pct_missing,completely_empty
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,06:00:00,int,unknown,323 | 381 | 405,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,07:00:00,float,unknown,325.0 | 383.0 | 405.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,08:00:00,int,unknown,327 | 386 | 402,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,09:00:00,int,unknown,328 | 389 | 400,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,10:00:00,int,unknown,330 | 392 | 398,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,11:00:00,int,unknown,331 | 396 | 396,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,12:00:00,int,unknown,332 | 400 | 391,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,13:00:00,int,unknown,331 | 403 | 388,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,14:00:00,int,unknown,332 | 405 | 386,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,15:00:00,int,unknown,336 | 406 | 384,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,16:00:00,int,unknown,344 | 408 | 377,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,17:00:00,int,unknown,348 | 415 | 368,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,18:00:00,int,unknown,352 | 418 | 358,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,19:00:00,int,unknown,353 | 420 | 356,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,20:00:00,float,unknown,354.0 | 421.0 | 354.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,21:00:00,int,unknown,357 | 421 | 351,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,22:00:00,int,unknown,359 | 419 | 347,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,23:00:00,int,unknown,363 | 416 | 343,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,Date,int,timestamp,1 | 2 | 3,27,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,00:00:00,float,unknown,417.0 | 360.0 | 163.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,01:00:00,float,unknown,417.0 | 360.0 | 162.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,02:00:00,float,unknown,416.0 | 359.0 | 161.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,03:00:00,float,unknown,412.0 | 358.0 | 161.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,04:00:00,float,unknown,358.0 | 160.0 | 238.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,05:00:00,float,unknown,358.0 | 159.0 | 240.0,27,9,33.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,06:00:00,float,unknown,418.0 | 357.0 | 158.0,27,8,29.63,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,07:00:00,float,unknown,416.0 | 158.0 | 247.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,08:00:00,float,unknown,410.0 | 159.0 | 250.0,27,10,37.04,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,09:00:00,float,unknown,404.0 | 160.0 | 255.0,27,11,40.74,False
