file_key,sheet,station_folder,col_name,n_total,n_missing,pct_missing,completely_empty
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",07:00:00,31,5,16.13,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",08:00:00,31,7,22.58,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",09:00:00,31,5,16.13,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",10:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",11:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",12:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",13:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",14:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",15:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",16:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",17:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",18:00:00,31,5,16.13,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",19:00:00,31,3,9.68,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",20:00:00,31,3,9.68,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",21:00:00,31,3,9.68,False
